City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Mogadishu,SO,83.98,few clouds,2.0371,45.3438,Hotel Juba
408,Malacatancito,GT,78.33,broken clouds,15.2167,-91.5167,Hotel Salcaja
422,Houma,US,86.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
423,Samarai,PG,80.64,scattered clouds,-10.6167,150.6667,Nuli Sapi
424,Makakilo City,US,73.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
426,Vieux-Habitants,GP,83.77,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
427,Cuyo,PH,83.7,overcast clouds,10.8525,121.0086,Francia Inn
428,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
429,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
430,Cairns,AU,75.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
439,Daru,PG,78.64,light rain,-9.0763,143.2092,Daru Lodge
444,Laguna,US,73.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
445,Port Hedland,AU,73.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
446,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
450,Nurota,UZ,75.25,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
456,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
458,Tupelo,US,80.98,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
462,Cururupu,BR,82.92,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
466,La Plaine,DM,89.89,few clouds,15.3333,-61.25,Citrus Creek Plantation
467,Kirkuk,IQ,77.29,clear sky,35.4681,44.3922,Cihad Oteli
470,Ambilobe,MG,74.82,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
476,Camargo,MX,82.36,clear sky,27.6667,-105.1667,Hotel Santa Fe
477,Owando,CG,79.63,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
481,Katra,IN,72.3,overcast clouds,32.9833,74.95,KC Residency Vaishnodevi
483,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
487,Tayu,ID,79.05,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
495,Kupang,ID,77.88,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
496,Sao Filipe,CV,74.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
499,Mitsamiouli,KM,80.24,light rain,-11.3847,43.2844,Foyer ADM
500,Kantunilkin,MX,89.82,clear sky,21.0917,-87.45,Posada Paraiso
501,Mineral Wells,US,79.34,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
502,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
503,Balancan,MX,89.29,broken clouds,17.8,-91.5333,Hotel Balam Ku
504,Chimbote,PE,72.72,overcast clouds,-9.0853,-78.5783,Hotel Briliá
506,Pasni,PK,86.61,scattered clouds,25.2631,63.471,Kashmiri Hotal
509,Thai Binh,VN,75.2,overcast clouds,20.45,106.3333,Sweden Hotel
510,Antalaha,MG,74.86,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
511,Show Low,US,71.08,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
516,Alugan,PH,79.95,overcast clouds,12.2188,125.4808,JM Lodge
518,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
521,Sam Roi Yot,TH,86.97,light rain,12.2708,99.872,SeaBreezeResort Samroiyot
