City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
154,Andenes,69.3143,16.1194,33.78,overcast clouds,75,100,8.05,NO
155,Bud,39.447,-86.1758,72.75,overcast clouds,70,99,12.68,US
156,Pemangkat,1.1667,108.9667,81.21,overcast clouds,76,100,3.69,ID
157,Malanje,-9.5402,16.341,67.82,broken clouds,81,62,2.98,AO
158,Puerto Escondido,15.85,-97.0667,86.83,clear sky,74,0,10.36,MX
159,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,scattered clouds,74,40,6.71,RU
160,Colares,38.7992,-9.4469,79.79,few clouds,39,20,13.8,PT
161,Cervo,43.6702,-7.4101,62.96,scattered clouds,77,45,8.32,ES
162,Narsaq,60.9167,-46.05,55.62,scattered clouds,57,35,3.13,GL
163,Hualmay,-11.0964,-77.6139,72.46,broken clouds,72,82,10.04,PE
164,Henties Bay,-22.116,14.2845,60.35,clear sky,78,0,10.4,NA
165,Cherskiy,68.75,161.3,-6.34,broken clouds,100,81,4.18,RU
166,Mahajanga,-15.7167,46.3167,80.47,clear sky,73,5,8.55,MG
167,Yerbogachen,61.2767,108.0108,34.36,overcast clouds,95,100,5.3,RU
168,Ulladulla,-35.35,150.4667,56.3,broken clouds,71,65,3.62,AU
169,Izberbash,42.5696,47.8645,57.25,overcast clouds,93,99,1.19,RU
170,Alyangula,-13.8483,136.4192,71.47,broken clouds,100,55,0.0,AU
171,Nome,64.5011,-165.4064,42.87,broken clouds,53,75,8.05,US
172,Te Anau,-45.4167,167.7167,58.42,overcast clouds,69,99,11.39,NZ
173,Montepuez,-13.1256,38.9997,70.03,scattered clouds,79,32,3.27,MZ
174,Bethel,41.3712,-73.414,62.15,clear sky,35,0,18.41,US
175,Mount Gambier,-37.8333,140.7667,53.51,broken clouds,94,75,11.5,AU
176,Innisfail,-17.5333,146.0333,72.45,scattered clouds,90,50,6.78,AU
177,Arona,28.0996,-16.681,70.7,few clouds,52,20,23.02,ES
178,Srednekolymsk,67.45,153.6833,1.18,scattered clouds,98,46,4.38,RU
179,Berlevag,70.8578,29.0864,24.6,light snow,61,99,19.69,NO
180,Santa Cruz,-17.8,-63.1667,78.85,few clouds,61,20,4.61,BO
181,Pavilosta,56.8879,21.1859,49.91,broken clouds,53,79,3.24,LV
182,Buala,-8.145,159.5921,79.11,overcast clouds,82,90,0.34,SB
183,Jinchang,38.4953,102.1739,47.21,overcast clouds,30,96,5.23,CN
184,Pemberton,50.3164,-122.8027,46.54,overcast clouds,92,99,1.14,CA
185,Argentan,48.75,-0.0167,57.22,scattered clouds,63,49,7.36,FR
186,Glendive,47.1053,-104.7125,55.76,clear sky,49,0,19.57,US
187,Colac,-38.3333,143.5833,53.83,scattered clouds,89,27,10.09,AU
188,Antofagasta,-23.65,-70.4,68.22,scattered clouds,62,25,7.23,CL
189,Dauphin,51.1494,-100.0502,41.14,clear sky,81,0,6.91,CA
190,Thinadhoo,0.5333,72.9333,85.86,overcast clouds,67,87,14.29,MV
191,Leningradskiy,69.3833,178.4167,4.87,overcast clouds,97,97,5.55,RU
192,Norman Wells,65.282,-126.8329,39.24,clear sky,60,0,10.36,CA
193,Victor Harbor,-35.5667,138.6167,59.0,clear sky,85,4,8.81,AU
194,Ponta Do Sol,32.6667,-17.1,75.7,clear sky,58,0,1.3,PT
195,Hobyo,5.3505,48.5268,85.05,broken clouds,70,73,13.53,SO
196,Broome,42.2506,-75.833,59.7,clear sky,27,0,12.66,US
197,Saint-Augustin,51.226,-58.6502,36.25,overcast clouds,92,100,15.93,CA
198,Erie,42.7667,-78.6664,59.05,broken clouds,29,55,5.01,US
199,Sur,22.5667,59.5289,90.52,broken clouds,48,63,3.44,OM
200,Lazaro Cardenas,17.9583,-102.2,83.1,clear sky,51,2,8.32,MX
201,Hirado,33.3597,129.5531,56.39,overcast clouds,67,100,10.2,JP
202,Alappuzha,9.49,76.3264,84.54,overcast clouds,78,100,8.43,IN
203,Orapa,-21.2833,25.3667,74.48,scattered clouds,32,42,6.06,BW
204,Pisco,-13.7,-76.2167,72.01,clear sky,78,0,8.05,PE
205,Murray Bridge,-35.1167,139.2667,59.13,clear sky,82,1,6.78,AU
206,Moerai,-22.4333,-151.3333,78.66,overcast clouds,70,88,15.55,PF
207,Sinnamary,5.3833,-52.95,83.05,broken clouds,66,80,11.07,GF
208,Thompson,55.7435,-97.8558,39.36,broken clouds,65,75,11.5,CA
209,Codrington,-38.2667,141.9667,54.54,broken clouds,89,53,13.76,AU
210,Kawalu,-7.3817,108.2082,73.18,broken clouds,97,67,1.74,ID
211,Qaanaaq,77.484,-69.3632,18.97,overcast clouds,71,100,6.58,GL
212,Shaowu,27.3409,117.4831,58.84,overcast clouds,97,100,3.11,CN
213,Matara,5.9485,80.5353,81.45,broken clouds,86,57,10.02,LK
214,Uvat,59.1433,68.8953,33.33,scattered clouds,57,27,2.66,RU
215,Kaeo,-35.1,173.7833,58.14,clear sky,88,10,5.77,NZ
216,Pimentel,-6.8367,-79.9342,79.09,clear sky,53,0,9.22,PE
217,Tongchuan,35.0806,109.0897,49.55,overcast clouds,28,100,5.61,CN
218,Vostok,46.4856,135.8833,35.42,moderate rain,98,100,2.71,RU
219,Bad Windsheim,49.5,10.4167,57.15,scattered clouds,79,40,8.05,DE
220,Coronado,32.6859,-117.1831,78.01,clear sky,73,0,10.36,US
221,Wolow,51.3366,16.6443,61.03,overcast clouds,47,100,3.53,PL
222,Kumluca,36.3703,30.2869,70.79,overcast clouds,63,100,7.31,TR
223,Haines Junction,60.7522,-137.5108,40.95,broken clouds,56,78,1.14,CA
224,Saint-Joseph,-21.3667,55.6167,77.38,scattered clouds,80,44,8.95,RE
225,Dukat,62.55,155.55,8.42,overcast clouds,99,100,1.36,RU
226,Freeport,40.6576,-73.5832,65.46,clear sky,25,0,13.8,US
227,Palmas Bellas,9.2319,-80.0867,86.25,overcast clouds,82,87,8.75,PA
228,Wasilla,61.5814,-149.4394,44.4,clear sky,62,0,8.05,US
229,Provideniya,64.3833,-173.3,28.87,light snow,91,100,16.37,RU
230,Plettenberg Bay,-34.0527,23.3716,58.37,clear sky,82,1,5.61,ZA
231,Prabumulih,-3.45,104.25,75.29,heavy intensity rain,98,99,0.78,ID
232,Rogers,36.3668,-95.5836,71.71,clear sky,50,0,8.05,US
233,Gat,31.61,34.7642,68.68,clear sky,100,0,7.09,IL
234,East London,-33.0153,27.9116,59.94,clear sky,82,0,8.05,ZA
235,Bermejo,-32.8833,-68.8,66.11,clear sky,30,0,4.61,AR
236,Tumaco,1.7986,-78.8156,82.0,light rain,79,86,9.62,CO
237,Talnakh,69.4865,88.3972,20.21,overcast clouds,96,92,7.0,RU
238,Port Lincoln,-34.7333,135.8667,58.77,clear sky,79,3,7.92,AU
239,Teguldet,57.3064,88.1667,48.88,overcast clouds,87,96,5.28,RU
240,Tigzirt,36.8886,4.1198,62.51,clear sky,64,0,4.38,DZ
241,Araouane,18.9048,-3.5265,99.66,few clouds,6,20,13.85,ML
242,Grindavik,63.8424,-22.4338,45.07,broken clouds,81,75,16.11,IS
243,Lagoa,39.05,-27.9833,61.29,clear sky,86,3,12.64,PT
244,Sitka,57.0531,-135.33,46.29,clear sky,66,0,4.61,US
245,Bahia Blanca,-38.7196,-62.2724,60.87,few clouds,32,19,12.1,AR
246,Salalah,17.0151,54.0924,86.09,broken clouds,79,75,6.91,OM
247,Ilulissat,69.2167,-51.1,24.82,few clouds,42,20,9.22,GL
248,Ixtapa,20.7,-105.2,78.03,clear sky,44,0,9.22,MX
249,Baculin,7.4525,126.5842,77.67,overcast clouds,87,100,9.69,PH
250,Ribeira Brava,32.65,-17.0667,75.7,clear sky,59,0,0.92,PT
251,Saint George,37.1041,-113.5841,72.79,clear sky,16,0,4.61,US
252,Maldonado,-34.6667,-54.9167,63.79,overcast clouds,51,100,2.91,UY
253,Bowen,-20.0167,148.2333,69.48,clear sky,92,3,9.89,AU
254,Manaure,11.7751,-72.4445,87.3,overcast clouds,63,100,14.74,CO
255,Rio Gallegos,-51.6226,-69.2181,46.45,clear sky,53,0,2.3,AR
256,Najran,17.4924,44.1277,84.85,broken clouds,30,70,7.11,SA
257,Cayenne,4.9333,-52.3333,85.08,broken clouds,30,75,11.5,GF
258,Mwinilunga,-11.7358,24.4293,66.72,overcast clouds,67,87,4.5,ZM
259,Hofn,64.2539,-15.2082,48.04,few clouds,79,12,14.25,IS
260,Bintulu,3.1667,113.0333,77.41,few clouds,94,20,0.0,MY
261,Taltal,-25.4,-70.4833,66.09,clear sky,72,9,8.32,CL
262,Port Augusta,-32.5,137.7667,58.1,clear sky,63,0,6.42,AU
263,Severo-Kurilsk,50.6789,156.125,33.22,overcast clouds,86,89,10.92,RU
264,Asosa,10.0667,34.5333,75.15,broken clouds,42,83,2.26,ET
265,Arman,59.7,150.1667,28.02,few clouds,77,13,6.85,RU
266,Bathsheba,13.2167,-59.5167,86.61,scattered clouds,70,40,16.11,BB
267,Guerrero Negro,27.9769,-114.0611,65.39,scattered clouds,63,50,11.16,MX
268,Kirakira,-10.4544,161.9205,79.84,overcast clouds,81,100,0.98,SB
269,Palauig,15.435,119.9045,81.91,broken clouds,76,77,1.05,PH
270,Grootfontein,-19.5667,18.1167,63.97,broken clouds,72,81,3.44,NA
271,Constitucion,-35.3333,-72.4167,60.4,clear sky,46,0,12.06,CL
272,Bukachacha,52.9833,116.9167,38.93,overcast clouds,36,99,0.29,RU
273,Bilma,18.6853,12.9164,101.34,broken clouds,7,82,4.74,NE
274,Sulangan,11.1373,123.7228,82.29,overcast clouds,77,96,9.75,PH
275,Altos Del Rosario,8.7944,-74.1658,94.12,overcast clouds,51,100,0.94,CO
276,Kuusamo,65.9667,29.1833,33.84,clear sky,44,0,6.91,FI
277,Victoria,22.2855,114.1577,78.19,overcast clouds,87,100,15.01,HK
278,Kaili,-3.4626,120.2147,67.82,overcast clouds,97,100,2.86,ID
279,Natal,-5.795,-35.2094,88.02,few clouds,58,20,17.27,BR
280,Ponta Delgada,37.7333,-25.6667,66.92,scattered clouds,77,40,11.5,PT
281,Iranduba,-3.2847,-60.1861,86.32,overcast clouds,73,96,3.47,BR
282,Micheweni,-4.9667,39.8333,80.33,few clouds,77,24,13.85,TZ
283,Bilibino,68.0546,166.4372,-4.45,overcast clouds,100,87,4.27,RU
284,Angoche,-16.2325,39.9086,74.01,clear sky,83,0,8.08,MZ
285,Hasaki,35.7333,140.8333,46.8,broken clouds,56,54,10.16,JP
286,Kutum,14.2,24.6667,88.25,few clouds,9,12,10.4,SD
287,Vangaindrano,-23.35,47.6,71.56,clear sky,87,9,0.25,MG
288,Bubaque,11.2833,-15.8333,78.58,scattered clouds,67,33,13.51,GW
289,Katsuura,35.1333,140.3,53.6,broken clouds,67,51,6.73,JP
290,Lebu,-37.6167,-73.65,54.46,clear sky,59,0,14.03,CL
291,Saskylakh,71.9167,114.0833,13.6,overcast clouds,93,100,15.82,RU
292,Coahuayana,18.7333,-103.6833,87.48,clear sky,33,2,7.18,MX
293,Sitangkai,4.6628,119.3928,83.01,broken clouds,77,64,6.24,PH
294,Maroantsetra,-15.4333,49.7333,75.61,scattered clouds,83,42,2.77,MG
295,Mezen,65.8522,44.24,23.85,overcast clouds,90,96,3.87,RU
296,Padang,-0.9492,100.3543,78.85,moderate rain,90,99,4.36,ID
297,Cap Malheureux,-19.9842,57.6142,75.47,scattered clouds,78,42,1.01,MU
298,Bereznik,62.8551,42.7072,28.53,overcast clouds,92,98,3.06,RU
299,Beaverlodge,55.2166,-119.4361,36.75,overcast clouds,79,100,7.27,CA
300,San Cristobal,7.7669,-72.225,80.78,overcast clouds,80,100,7.02,VE
301,Ahualulco,22.4,-101.1667,73.22,clear sky,11,2,3.67,MX
302,Aklavik,68.2191,-135.0107,37.4,scattered clouds,65,40,5.75,CA
303,Vila,42.0304,-8.1588,64.71,clear sky,46,9,7.0,PT
304,Tukrah,32.5341,20.5791,66.92,overcast clouds,57,99,19.62,LY
305,Keffi,8.8486,7.8736,95.02,overcast clouds,33,97,8.08,NG
306,Mecca,21.4267,39.8261,88.32,clear sky,47,6,4.76,SA
307,Tiarei,-17.5333,-149.3333,77.02,light rain,75,14,16.11,PF
308,Campbellton,48.0075,-66.6727,46.85,overcast clouds,74,93,9.06,CA
309,Matelandia,-25.2408,-53.9964,71.2,broken clouds,78,83,6.76,BR
310,Abu Dhabi,24.4667,54.3667,84.22,clear sky,56,0,3.44,AE
311,Arraial Do Cabo,-22.9661,-42.0278,76.96,broken clouds,78,75,6.91,BR
312,Nuuk,64.1835,-51.7216,25.41,scattered clouds,63,40,16.11,GL
313,Tortoli,39.9256,9.6572,64.22,clear sky,63,0,5.75,IT
314,Saint-Francois,46.4154,3.9054,63.68,clear sky,42,0,13.8,FR
315,Kavieng,-2.5744,150.7967,81.75,light rain,74,85,1.88,PG
316,Pelym,61.0108,61.9978,33.42,scattered clouds,67,27,6.33,RU
